title,langcode,status,title,promote,body,field_biozap_buttons,field_dni_do_potwierdzenia_skute,field_skrypt,field_urzadzenie
"Abdominal inf  1","en",true,"Abdominal inf  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ABDOMINAL INF  1 84m
# Abdominal_inflammation
# 
freq 2720000 180
freq 2489000 180
freq 2170000 180
freq 2000000 180
freq 1865000 180
freq 1800000 180
freq 1600000 180
freq 1550000 180
freq 880000 180
freq 832000 180
freq 802000 180
freq 787000 180
freq 776000 180
freq 727000 180
freq 660000 180
freq 465000 180
freq 450000 180
freq 444000 180
freq 440000 180
freq 428000 180
freq 380000 180
freq 250000 180
freq 146000 180
freq 125000 180
freq 95000 180
freq 72000 180
freq 20000 180
freq 1200 180
off
@","multiZAP"
"Abdominal pain","en",true,"Abdominal pain",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ABDOMINAL PAIN 12m
# Abdominal_pain
# 
freq 10000000 180
freq 3000000 180
freq 95000 180
freq 3000 180
off
@","multiZAP"
"Abscesses 1","en",true,"Abscesses 1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ABSCESSES 1 51m
# Abscesses_1
# 
freq 2720000 180
freq 2170000 180
freq 1865000 180
freq 1550000 180
freq 880000 180
freq 802000 180
freq 787000 180
freq 760000 180
freq 727000 180
freq 690000 180
freq 660000 180
freq 500000 180
freq 465000 180
freq 450000 180
freq 444000 180
freq 428000 180
freq 190000 180
off
@","multiZAP"
"Abscesses sec  1","en",true,"Abscesses sec  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ABSCESSES SEC  1 24m
# Abscesses_secondary
# 
freq 1550000 180
freq 802000 180
freq 760000 180
freq 660000 180
freq 465000 180
freq 450000 180
freq 444000 180
freq 428000 180
off
@","multiZAP"
"Abscesses","en",true,"Abscesses",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ABSCESSES 33m
# Abscesses
# also use Staphylococcus aureus and see Listeriose
freq 2720000 180
freq 2170000 180
freq 1865000 180
freq 1550000 180
freq 880000 180
freq 802000 180
freq 787000 180
freq 727000 180
freq 500000 180
freq 444000 180
freq 190000 180
off
@","multiZAP"
"Acidosis","en",true,"Acidosis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ACIDOSIS 24m
# Acidosis
# hyperacidity. Also use a calcium magnesium supplement long term
freq 10000000 180
freq 880000 180
freq 802000 180
freq 787000 180
freq 776000 180
freq 727000 180
freq 146000 180
freq 20000 180
off
@","multiZAP"
"Acne","en",true,"Acne",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ACNE 60m
# Acne
# run 564 for 6 min
freq 2720000 180
freq 2170000 180
freq 1800000 180
freq 1600000 180
freq 1550000 180
freq 1552000 180
freq 1500000 180
freq 802000 180
freq 880000 180
freq 778000 180
freq 787000 180
freq 760000 180
freq 741000 180
freq 727000 180
freq 660000 180
freq 564000 180
freq 465000 180
freq 450000 180
freq 444000 180
freq 428000 180
off
@","multiZAP"
"Aconite","en",true,"Aconite",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ACONITE 9m
# Aconite
# used to stimulate lymphocyte production
freq 3347000 180
freq 5611000 180
freq 2791000 180
off
@","multiZAP"
"Actinobacillus","en",true,"Actinobacillus",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ACTINOBACILLUS 60m
# Actinobacillus
# a potentially pathogenic bacteria found in mammals. 773*. 776*. 778*. 822*
freq 488000 180
freq 565000 180
freq 672000 180
freq 674000 180
freq 678000 180
freq 773000 180
freq 766000 180
freq 768000 180
freq 776000 180
freq 777000 180
freq 778000 180
freq 822000 180
freq 885000 180
freq 887000 180
freq 7877000 180
freq 9687000 180
freq 42664000 180
freq 42666000 180
freq 46668000 180
freq 46787000 180
off
@","multiZAP"
"Actinomyces i  1","en",true,"Actinomyces i  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ACTINOMYCES I  1 54m
# Actinomyces_israelii
# a bacterium normally found in the bowel and throat that can cause deep. pus filled holes in tissue. Also see Streptothrix. 222*. 262*. 488*. 567*. 7880*
freq 23000 180
freq 222000 180
freq 262000 180
freq 2154000 180
freq 465000 180
freq 488000 180
freq 567000 180
freq 7880000 180
freq 10000000 180
freq 787000 180
freq 747000 180
freq 727000 180
freq 20000 180
freq 660000 180
freq 690000 180
freq 160000 180
freq 73000 180
freq 1100 180
off
@","multiZAP"
