# BELLS PALSY 1 93m
# Bells_Palsy_1
# also see Herpes_general
freq 2400.00 180
freq 3000.00 180
freq 3900.00 180
freq 7830.00 180
freq 20000.00 180
freq 27570.00 180
freq 33000.00 180
freq 35000.00 180
freq 40000.00 180
freq 47500.00 180
freq 57500.00 180
freq 72000.00 180
freq 90880.00 180
freq 110000.00 180
freq 125000.00 180
freq 194000.00 180
freq 222000.00 180
freq 304000.00 180
freq 393500.00 180
freq 464000.00 180
freq 565500.00 180
freq 600000.00 180
freq 625000.00 180
freq 650000.00 180
freq 727000.00 180
freq 776000.00 180
freq 787000.00 180
freq 833000.00 180
freq 880000.00 180
freq 932500.00 180
freq 1250000.00 180
