# EMPHYSEMA COMP 81m
# Emphysema_comp
# 
freq 7344000.00 180
freq 3672000.00 180
freq 2838000.00 1
scan 2839000.00 179
freq 2688000.00 180
freq 2404000.00 1
scan 2405000.00 179
freq 1234000.00 180
freq 975000.00 180
freq 880000.00 180
freq 787000.00 180
freq 777000.00 180
freq 766000.00 180
freq 727000.00 180
freq 709200.00 180
freq 688000.00 180
freq 683000.00 180
freq 660000.00 180
freq 650000.00 180
freq 601000.00 180
freq 422000.00 180
freq 300500.00 180
freq 240000.00 180
freq 150300.00 180
freq 128000.00 180
freq 120000.00 180
freq 80000.00 180
freq 75100.00 180
freq 20000.00 180
